name,group,type,description
id,id,numeric,
target,target,binary,
ps_ind_01,ind,numeric,
ps_ind_02_cat,ind,categorical,
ps_ind_03,ind,ordinal,
ps_ind_04_cat,ind,categorical,
ps_ind_05_cat,ind,categorical,
ps_ind_06_bin,ind,binary,
ps_ind_07_bin,ind,binary,
ps_ind_08_bin,ind,binary,
ps_ind_09_bin,ind,binary,
ps_ind_10_bin,ind,binary,
ps_ind_11_bin,ind,binary,
ps_ind_12_bin,ind,binary,
ps_ind_13_bin,ind,binary,
ps_ind_14,ind,ordinal,
ps_ind_15,ind,ordinal,
ps_ind_16_bin,ind,binary,
ps_ind_17_bin,ind,binary,
ps_ind_18_bin,ind,binary,
ps_reg_01,reg,numeric,
ps_reg_02,reg,numeric,
ps_reg_03,reg,numeric,
ps_car_01_cat,car,categorical,
ps_car_02_cat,car,categorical,
ps_car_03_cat,car,categorical,
ps_car_04_cat,car,categorical,
ps_car_05_cat,car,categorical,
ps_car_06_cat,car,categorical,
ps_car_07_cat,car,categorical,
ps_car_08_cat,car,categorical,
ps_car_09_cat,car,categorical,
ps_car_10_cat,car,categorical,
ps_car_11_cat,car,categorical,
ps_car_11,car,ordinal,
ps_car_12,car,numeric,
ps_car_13,car,numeric,
ps_car_14,car,numeric,
ps_car_15,car,numeric,
ps_calc_01,calc,numeric,
ps_calc_02,calc,numeric,
ps_calc_03,calc,numeric,
ps_calc_04,calc,ordinal,
ps_calc_05,calc,ordinal,
ps_calc_06,calc,ordinal,
ps_calc_07,calc,ordinal,
ps_calc_08,calc,ordinal,
ps_calc_09,calc,ordinal,
ps_calc_10,calc,ordinal,
ps_calc_11,calc,ordinal,
ps_calc_12,calc,ordinal,
ps_calc_13,calc,ordinal,
ps_calc_14,calc,ordinal,
ps_calc_15_bin,calc,binary,
ps_calc_16_bin,calc,binary,
ps_calc_17_bin,calc,binary,
ps_calc_18_bin,calc,binary,
ps_calc_19_bin,calc,binary,
ps_calc_20_bin,calc,binary,
